Playing History Audit 'gaiggibeliin' from 2019/01/01 12:00 AM to 2019/01/30 11:59 PM,,,,,,,,,,,,
Transaction Details,Individual Transaction Amounts,Running Balance,,,,,,,,,,
Date/Time,Action,Table Name / Player / Tournament #,Game,Account Currency,Amount,Accrued StarsCoin,T Money,W Money,Balance,Total Accrued StarsCoin After this Transaction,T Money2,W Money3
6.1.2019 15:11,Tournament Registration,2493721086<b><font color=-x-tourn-special>Omania $109 PLO [Weekend Special] </font> <font color=-x-tourn-guarantee> $25K Gtd</font></b>, PL Omaha Buy-In: 100.00/9.00,USD,-109,0,0,0,"9,047.99","3,032.97",0,0
6.1.2019 16:03,Tournament Re-entry,2493721086,,USD,-109,0,0,0,"8,938.99","3,032.97",0,0
6.1.2019 16:31,Tournament Registration,2479738175<b><font color=-x-tourn-championship>Winter Series 57 - Medium: $55 NLHE </font> <font color=-x-tourn-guarantee>$200K Gtd</font></b>, NL Hold'em Buy-In: 50.00/5.00,USD,-55,0,0,0,"8,883.99","3,032.97",0,0
6.1.2019 16:38,Tournament Re-entry,2479738162,,USD,-22,0,0,0,"8,861.99","3,032.97",0,0
6.1.2019 17:24,Tournament Registration,2479738185<b><font color=-x-tourn-championship>Winter Series 58 - Medium: $109 NLHE [8-Max  Turbo  Progressive KO  Sunday Cooldown SE] </font> <font color=-x-tourn-guarantee>$300K Gtd</font></b>, NL Hold'em Buy-In: 100.00/9.00,USD,-109,0,0,0,"8,752.99","3,032.97",0,0
6.1.2019 17:49,Tournament Interim Payout,2479738162,,USD,35.14,0,0,0,"8,788.13","3,032.97",0,0
6.1.2019 18:13,Reward: Knockout Bounty,2479738185,,USD,25,0,0,0,"8,813.13","3,032.97",0,0
6.1.2019 18:13,Reward: Knockout Bounty,2479738185,,USD,25,0,0,0,"8,838.13","3,032.97",0,0
6.1.2019 18:14,Reward: Knockout Bounty,2479738185,,USD,25,0,0,0,"8,863.13","3,032.97",0,0
6.1.2019 18:30,Reward: Knockout Bounty,2479738185,,USD,25,0,0,0,"8,888.13","3,032.97",0,0
6.1.2019 18:33,Reward: Knockout Bounty,2479738185,,USD,37.5,0,0,0,"8,925.63","3,032.97",0,0
6.1.2019 18:37,Reward: Knockout Bounty,2479738185,,USD,25,0,0,0,"8,950.63","3,032.97",0,0
6.1.2019 19:16,Tournament Won,2479738162<b><font color=-x-tourn-championship>Winter Series 56 - Low: $22 NLHE [8-Max  Main Event] </font> <font color=-x-tourn-guarantee>$750K Gtd</font></b>, NL Hold'em Buy-In: 20.00/2.00,USD,24.06,0,0,0,"8,974.69","3,032.97",0,0
6.1.2019 19:26,Tournament Interim Payout,2479738175,,USD,97.79,0,0,0,"9,072.48","3,032.97",0,0
6.1.2019 20:11,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"8,872.48","3,032.97",0,0
6.1.2019 20:11,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"8,672.48","3,032.97",0,0
6.1.2019 20:11,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"8,670.48","3,032.97",0,0
6.1.2019 20:11,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,669.48","3,032.97",0,0
6.1.2019 20:12,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2.51,0,0,0,"8,666.97","3,032.97",0,0
6.1.2019 20:15,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-3,0,0,0,"8,663.97","3,032.97",0,0
6.1.2019 20:20,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-15.32,0,0,0,"8,648.65","3,032.97",0,0
6.1.2019 20:21,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"8,646.65","3,032.97",0,0
6.1.2019 20:26,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-0.72,0,0,0,"8,645.93","3,032.97",0,0
6.1.2019 20:27,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"8,643.93","3,032.97",0,0
6.1.2019 20:27,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,642.93","3,032.97",0,0
6.1.2019 20:51,Leave Table (Zoom),Diotima,1.00/2.00 PL Omaha,USD,265.36,0,0,0,"8,908.29","3,032.97",0,0
6.1.2019 20:51,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"8,708.29","3,032.97",0,0
